"wage" "school" "expr" "public" "female" "industry"
"873" 74 12 4 0 0 34
"874" 54 12 1 0 1 81
"875" 48 13 1 0 1 62
"876" 67 12 2 1 0 93
"877" 47 12 1 0 1 63
"878" 51 11 2 1 0 91
"879" 48 11 1 0 1 62
"880" 82 11 2 0 0 50
"881" 45 11 4 0 1 63
"882" 71 11 2 0 0 61
"883" 73 12 1 0 1 81
"884" 71 11 2 1 1 93
"885" 65 12 1 0 0 61
"886" 56 12 3 0 0 62
"887" 54 9 3 0 0 50
"888" 56 11 1 0 0 50
"889" 62 11 1 0 1 62
"890" 58 11 1 0 1 63
"891" 46 11 1 1 0 93
"892" 42 11 1 1 1 93
"893" 71 11 1 1 0 93
"894" 54 10 2 1 1 93
"895" 67 11 1 0 0 50
"896" 45 11 2 0 1 62
"897" 59 11 1 0 1 63
"898" 49 11 1 1 1 93
"899" 55 12 1 1 1 93
"900" 54 11 1 1 0 50
"901" 64 9 4 0 0 33
"902" 55 11 1 0 0 93
"903" 45 11 1 1 1 93
"904" 55 11 1 1 1 93
"905" 48 11 1 0 0 38
"906" 48 11 1 0 0 95
"907" 42 11 5 0 1 61
"908" 55 11 1 0 1 31
"909" 94 11 3 0 1 62
"910" 96 11 3 0 0 63
"911" 46 11 1 1 1 93
"912" 64 11 1 0 0 38
"913" 59 10 1 0 1 32
"914" 62 10 2 0 0 38
"915" 54 9 2 1 1 93
"916" 55 11 1 0 0 50
"917" 59 12 1 0 1 32
"918" 49 11 1 0 0 94
"919" 53 12 3 1 1 91
"920" 45 9 2 0 0 71
"921" 53 11 0 1 0 50
"922" 22 11 1 0 1 93
"923" 49 11 1 1 1 93
"924" 61 11 1 1 1 93
"925" 39 11 1 1 1 93
"926" 51 11 0 0 0 61
"927" 59 12 1 0 0 63
"928" 45 12 1 0 0 50
"929" 45 11 0 1 1 93
"930" 42 10 2 1 1 93
"931" 51 9 2 0 1 62
"932" 46 10 1 1 0 95
"933" 59 9 2 0 1 35
"934" 42 11 2 0 1 62
"935" 37 9 1 0 0 62
"936" 47 11 2 0 0 62
"937" 68 9 2 1 1 63
"938" 17 9 1 1 1 93
"939" 22 9 1 1 1 93
"940" 51 9 2 1 1 93
"941" 37 11 1 0 1 62
"942" 59 9 2 0 0 62
"943" 69 9 2 0 0 33
"944" 43 11 1 0 0 50
"945" 18 9 2 1 0 93
"946" 98 18 44 0 0 50
"947" 55 8 40 1 0 35
"948" 170 17 23 0 1 83
"949" 92 18 30 0 0 81
"950" 67 23 31 1 1 93
"951" 68 17 24 1 1 93
"952" 87 11 35 0 0 34
"953" 68 11 28 1 0 71
"954" 104 9 31 0 0 37
"955" 84 10 18 1 1 93
"956" 74 13 21 0 1 37
"957" 76 8 33 0 0 36
"958" 73 8 22 0 1 38
"959" 84 10 29 0 0 38
"960" 68 9 30 0 1 62
"961" 78 12 25 1 1 82
"962" 89 12 21 0 0 32
"963" 67 8 29 1 1 93
"964" 56 11 14 0 1 32
"965" 132 15 19 0 0 62
"966" 84 10 25 0 0 34
"967" 98 11 23 0 0 63
"968" 115 10 25 0 0 50
"969" 67 10 22 1 1 93
"970" 76 11 24 0 0 61
"971" 69 8 18 0 0 36
"972" 161 12 20 0 0 38
"973" 82 18 13 1 0 93
"974" 103 12 23 1 1 93
"975" 120 10 44 0 0 50
"976" 56 6 30 0 0 92
"977" 82 11 17 0 0 37
"978" 88 12 30 0 0 94
"979" 98 21 16 1 0 83
"980" 82 15 32 1 1 93
"981" 47 11 12 0 1 31
"982" 64 15 26 0 0 81
"983" 51 12 25 1 0 38
"984" 76 16 16 1 1 91
"985" 67 14 23 1 0 93
"986" 64 9 38 1 1 93
"987" 65 7 32 0 0 41
"988" 121 23 10 1 0 93
"989" 84 20 18 0 0 93
"990" 76 15 25 1 0 93
"991" 68 10 9 0 1 34
"992" 83 14 11 0 0 61
"993" 54 12 8 1 1 93
"994" 71 12 16 0 0 61
"995" 58 12 8 0 1 82
"996" 121 16 18 1 0 72
"997" 101 8 26 0 0 31
"998" 54 16 6 1 1 93
"999" 51 6 15 0 1 32
"1000" 132 16 15 0 1 61
"1001" 69 4 13 1 1 93
"1002" 61 14 21 1 1 93
"1003" 73 10 19 0 1 63
"1004" 74 12 18 0 0 95
"1005" 73 8 19 0 0 71
"1006" 61 17 5 1 1 50
"1007" 68 15 9 0 0 38
"1008" 93 10 13 1 0 93
"1009" 98 18 10 1 1 93
"1010" 71 15 12 1 1 93
"1011" 71 9 11 1 1 93
"1012" 74 14 14 0 1 31
"1013" 74 7 17 0 0 38
"1014" 59 8 18 1 1 93
"1015" 81 12 30 0 0 83
"1016" 59 8 20 0 0 33
"1017" 54 8 30 0 0 32
"1018" 59 6 36 0 0 38
"1019" 71 12 1 0 1 71
"1020" 76 18 4 1 1 93
"1021" 81 10 28 0 0 31
"1022" 54 14 17 1 1 93
"1023" 87 20 17 1 0 93
"1024" 51 6 17 0 1 93
"1025" 173 19 20 1 0 93
"1026" 94 14 21 0 0 71
"1027" 83 8 25 0 0 50
"1028" 76 19 14 1 0 71
"1029" 64 14 25 0 1 83
"1030" 64 15 17 0 0 38
"1031" 51 13 13 0 1 38
"1032" 74 18 7 1 1 93
"1033" 53 12 8 1 0 93
"1034" 89 15 23 1 0 93
"1035" 64 12 15 1 1 93
"1036" 74 11 16 0 0 61
"1037" 74 16 8 0 0 38
"1038" 68 13 10 1 0 93
"1039" 71 18 19 1 0 72
"1040" 81 23 4 1 0 93
"1041" 87 14 14 0 0 92
"1042" 64 16 4 1 0 81
"1043" 47 23 7 1 0 93
"1044" 58 12 9 0 0 38
"1045" 68 9 17 0 0 35
"1046" 88 13 4 0 0 38
"1047" 58 6 4 0 1 33
"1048" 62 13 5 1 1 93
"1049" 69 5 5 1 1 93
"1050" 59 16 15 1 1 93
"1051" 64 10 15 0 0 38
"1052" 87 10 4 0 0 38
"1053" 76 10 10 0 0 38
"1054" 58 16 6 0 0 38
"1055" 68 13 2 1 0 93
"1056" 54 16 1 0 0 92
"1057" 64 9 12 0 1 83
"1058" 73 13 6 1 1 93
"1059" 76 13 6 0 0 61
"1060" 71 13 6 0 0 38
"1061" 67 17 3 1 1 93
"1062" 51 9 4 1 1 93
"1063" 46 15 2 1 0 93
"1064" 55 13 6 0 1 92
"1065" 58 8 1 0 0 92
"1066" 54 13 20 0 1 32
"1067" 59 13 8 0 1 32
"1068" 83 17 13 0 0 61
"1069" 101 12 25 1 0 71
"1070" 76 8 20 1 1 93
"1071" 65 6 24 0 1 83
"1072" 77 13 23 1 0 91
"1073" 55 9 28 0 1 63
"1074" 145 17 23 1 0 91
"1075" 161 10 34 0 0 38
"1076" 81 8 33 0 0 38
"1077" 82 9 40 1 0 91
"1078" 114 16 17 0 0 61
"1079" 92 11 28 0 0 38
"1080" 54 10 18 1 1 93
"1081" 76 13 20 1 1 93
"1082" 241 15 25 0 0 83
"1083" 64 11 15 1 1 93
"1084" 61 13 24 1 1 93
"1085" 62 7 24 1 1 93
"1086" 115 8 38 0 0 71
"1087" 78 11 45 0 1 34
"1088" 74 9 25 0 0 38
"1089" 64 7 27 0 0 38
"1090" 55 8 23 0 0 93
"1091" 88 12 31 1 0 93
"1092" 73 15 13 1 1 93
"1093" 74 7 35 1 1 72
"1094" 88 8 42 0 0 38
"1095" 74 13 17 1 1 93
"1096" 71 16 13 1 0 93
"1097" 100 10 12 1 1 93
"1098" 77 11 20 0 0 34
"1099" 62 13 7 1 1 93
"1100" 106 15 32 0 0 35
"1101" 73 12 36 1 1 72
"1102" 68 11 23 0 1 61
"1103" 198 16 39 0 0 35
"1104" 81 13 21 1 1 93
"1105" 59 10 16 1 1 93
"1106" 71 12 17 0 1 93
"1107" 81 19 27 1 0 93
"1108" 74 8 28 1 0 72
"1109" 87 12 20 0 0 34
"1110" 115 9 30 0 0 61
"1111" 115 17 35 1 0 93
"1112" 65 12 14 1 0 38
"1113" 73 7 38 0 0 61
"1114" 81 16 16 1 1 93
"1115" 83 9 30 0 0 50
"1116" 212 16 18 0 0 31
"1117" 73 8 24 0 1 62
"1118" 64 12 18 1 1 94
"1119" 68 17 14 0 0 34
"1120" 126 14 21 1 0 93
"1121" 121 17 21 1 0 91
"1122" 76 11 35 1 1 93
"1123" 67 8 40 1 1 93
"1124" 64 12 20 0 0 62
"1125" 103 12 25 0 0 50
"1126" 84 11 24 0 1 82
"1127" 109 13 33 1 0 91
"1128" 67 7 47 1 1 93
"1129" 71 13 14 1 1 62
"1130" 64 11 12 1 1 91
"1131" 84 15 10 1 1 93
"1132" 101 17 21 1 1 93
"1133" 76 14 29 1 1 93
"1134" 88 14 33 0 0 94
"1135" 92 12 40 0 0 62
"1136" 121 20 50 1 0 41
"1137" 74 11 20 0 0 50
"1138" 71 12 28 1 1 91
"1139" 80 9 34 0 0 38
"1140" 68 20 9 1 1 93
"1141" 61 11 30 1 1 93
"1142" 136 23 15 1 0 31
"1143" 103 17 15 1 0 93
"1144" 42 8 30 0 0 71
"1145" 178 11 44 0 0 38
"1146" 81 12 23 0 0 38
"1147" 74 7 30 0 0 38
"1148" 103 10 31 0 0 71
"1149" 62 10 25 1 1 93
"1150" 67 8 44 0 0 38
"1151" 84 7 44 0 0 62
"1152" 61 6 20 1 1 93
"1153" 100 10 22 0 0 50
"1154" 87 17 15 1 0 93
"1155" 81 15 21 1 0 93
"1156" 51 9 8 1 1 93
"1157" 92 7 35 0 0 62
"1158" 87 9 39 0 0 33
"1159" 71 7 42 0 1 38
"1160" 91 11 31 1 1 93
"1161" 144 9 27 0 0 32
"1162" 56 12 7 1 1 82
"1163" 71 11 22 0 0 38
"1164" 64 10 29 1 0 93
"1165" 104 14 24 1 0 41
"1166" 94 13 29 0 0 38
"1167" 73 7 43 1 1 91
"1168" 83 18 1 0 1 83
"1169" 74 7 14 0 1 32
"1170" 68 9 30 1 0 50
"1171" 92 14 24 0 0 93
"1172" 69 8 38 1 0 72
"1173" 54 12 16 0 1 62
"1174" 71 9 27 1 0 91
"1175" 65 12 21 1 1 93
"1176" 59 10 25 0 1 95
"1177" 73 10 28 1 1 91
"1178" 63 7 25 1 1 92
"1179" 88 12 18 1 1 93
"1180" 76 8 35 0 0 50
"1181" 64 11 22 1 1 93
"1182" 216 13 37 0 0 81
"1183" 92 6 48 1 0 71
"1184" 104 13 21 0 0 50
"1185" 88 12 20 1 1 91
"1186" 71 15 20 1 0 91
"1187" 61 7 39 1 1 93
"1188" 101 13 18 0 0 62
"1189" 64 10 15 1 1 93
"1190" 173 10 34 0 0 61
"1191" 78 14 32 1 1 93
"1192" 144 13 20 1 0 72
"1193" 59 6 45 0 0 33
"1194" 64 12 18 0 1 62
"1195" 71 10 23 1 1 93
"1196" 216 15 38 0 0 93
"1197" 140 11 33 0 0 23
"1198" 175 13 34 0 0 50
"1199" 65 9 26 1 1 93
"1200" 67 10 31 1 1 93
"1201" 69 9 12 0 1 62
"1202" 166 17 17 1 0 93
"1203" 115 17 20 0 0 35
"1204" 118 8 28 0 0 38
"1205" 69 12 25 1 1 93
"1206" 71 12 33 0 1 93
"1207" 115 10 21 0 1 95
"1208" 73 10 13 0 1 83
"1209" 200 12 34 0 0 93
"1210" 49 8 11 1 1 93
"1211" 98 9 43 0 0 61
"1212" 58 12 15 1 1 93
"1213" 65 7 29 0 1 62
"1214" 152 16 17 1 0 91
"1215" 76 7 33 1 0 50
"1216" 71 6 32 1 1 93
"1217" 86 10 42 1 0 83
"1218" 58 8 25 1 1 93
"1219" 47 8 19 1 1 93
"1220" 98 11 22 0 0 31
"1221" 69 9 25 1 1 93
"1222" 59 8 39 0 1 61
"1223" 68 8 30 0 0 50
"1224" 98 12 39 1 1 93
"1225" 68 6 46 0 0 38
"1226" 94 20 15 1 1 93
"1227" 107 9 31 0 0 93
"1228" 65 11 28 1 1 93
"1229" 61 8 12 0 1 62
"1230" 88 14 23 1 1 93
"1231" 69 8 30 0 0 33
"1232" 62 7 25 1 1 93
"1233" 82 10 22 0 0 62
"1234" 82 13 20 0 1 38
"1235" 71 11 26 0 0 31
"1236" 83 11 25 1 0 83
"1237" 84 10 32 0 0 94
"1238" 59 7 30 1 1 93
"1239" 101 16 14 1 1 93
"1240" 86 8 30 0 0 61
"1241" 73 18 20 1 0 91
"1242" 81 12 30 0 1 82
"1243" 193 11 24 0 0 61
"1244" 88 15 22 1 1 93
"1245" 69 8 20 0 0 38
"1246" 64 12 27 0 0 83
"1247" 80 11 32 1 0 83
"1248" 67 7 44 0 0 95
"1249" 81 11 21 1 0 91
"1250" 78 8 35 1 0 71
"1251" 101 10 30 1 0 50
"1252" 101 16 30 1 1 93
"1253" 71 7 46 0 0 38
"1254" 68 15 11 1 1 93
"1255" 83 8 30 1 0 71
"1256" 130 11 38 0 0 50
"1257" 95 15 32 1 1 93
"1258" 68 6 46 1 1 93
"1259" 161 20 35 1 0 91
"1260" 101 10 25 0 1 81
"1261" 73 14 30 1 1 93
"1262" 96 11 35 1 0 71
"1263" 106 11 38 0 0 62
"1264" 101 14 28 0 1 83
"1265" 136 9 34 0 0 81
"1266" 69 7 36 0 1 34
"1267" 187 15 35 0 0 34
"1268" 98 8 46 1 0 72
"1269" 87 15 17 1 0 93
"1270" 89 14 20 1 1 93
"1271" 88 17 13 1 0 93
"1272" 71 11 22 1 1 93
"1273" 195 18 26 0 1 93
"1274" 82 8 36 1 0 83
"1275" 82 11 40 0 0 38
"1276" 68 8 41 1 0 93
"1277" 59 7 34 1 1 93
"1278" 59 6 16 0 0 38
"1279" 56 8 7 1 1 93
"1280" 84 14 25 0 1 83
"1281" 58 10 27 0 1 62
"1282" 67 11 21 1 1 93
"1283" 141 13 24 0 0 31
"1284" 67 11 36 1 1 91
"1285" 51 9 10 1 1 93
"1286" 105 8 27 1 1 93
"1287" 98 13 19 0 0 38
"1288" 81 9 32 1 0 72
"1289" 78 10 25 0 0 38
"1290" 59 12 21 1 1 93
"1291" 115 16 24 1 0 93
"1292" 68 11 31 1 1 72
"1293" 101 12 35 1 1 93
"1294" 82 8 20 1 1 93
"1295" 104 8 32 0 0 50
"1296" 149 18 16 1 0 71
"1297" 115 16 20 1 0 91
"1298" 88 14 41 1 1 93
"1299" 69 10 28 1 1 92
"1300" 67 14 31 1 1 93
"1301" 84 14 32 1 1 93
"1302" 116 14 16 0 0 81
"1303" 87 12 20 1 0 72
"1304" 73 10 21 0 1 81
"1305" 117 17 17 1 0 93
"1306" 87 8 44 0 0 50
"1307" 64 7 40 0 0 95
"1308" 78 10 18 0 1 35
"1309" 61 10 12 1 1 93
"1310" 68 11 26 0 0 83
"1311" 80 9 38 0 0 38
"1312" 69 10 27 0 0 38
"1313" 54 8 28 1 1 95
"1314" 171 18 16 0 0 38
"1315" 74 17 14 1 1 93
"1316" 73 14 14 1 1 93
"1317" 74 14 20 1 0 93
"1318" 62 8 21 1 1 91
"1319" 54 12 20 0 1 37
"1320" 71 9 30 0 1 50
"1321" 62 11 27 1 1 93
"1322" 80 12 37 0 0 62
"1323" 81 15 19 1 1 93
"1324" 126 14 15 1 1 41
"1325" 73 11 15 0 1 38
"1326" 92 8 43 0 0 38
"1327" 77 8 37 0 0 12
"1328" 37 7 40 0 1 83
"1329" 84 13 28 0 0 83
"1330" 74 12 25 1 1 72
"1331" 73 13 25 1 1 93
"1332" 76 7 28 0 0 95
"1333" 83 7 45 1 0 41
"1334" 64 16 26 1 1 93
"1335" 143 15 21 0 1 38
"1336" 89 11 22 0 1 93
"1337" 110 12 34 0 0 50
"1338" 62 10 35 1 1 93
"1339" 175 11 35 0 0 82
"1340" 83 10 44 0 1 83
"1341" 103 13 19 1 0 11
"1342" 87 16 17 1 1 93
"1343" 103 11 40 0 0 31
"1344" 63 9 29 0 0 71
"1345" 96 14 33 1 0 83
"1346" 59 9 25 1 1 93
"1347" 101 13 35 1 1 93
"1348" 100 19 18 1 0 93
"1349" 73 7 39 0 0 94
"1350" 64 12 42 0 0 71
"1351" 67 12 20 1 1 93
"1352" 64 7 34 0 1 35
"1353" 83 10 36 0 0 35
"1354" 156 17 26 1 0 91
"1355" 67 7 16 1 1 93
"1356" 106 8 45 1 0 94
"1357" 68 7 33 1 1 93
"1358" 87 13 40 1 1 72
"1359" 58 7 26 0 1 38
"1360" 82 7 40 0 0 33
"1361" 59 8 33 0 1 62
"1362" 64 13 20 1 1 93
"1363" 78 11 19 0 0 38
"1364" 87 13 22 1 1 93
"1365" 123 15 22 1 0 91
"1366" 87 15 21 0 1 36
"1367" 71 11 36 1 1 91
"1368" 54 7 6 1 1 93
"1369" 212 10 35 0 0 82
"1370" 54 8 17 0 1 31
"1371" 86 9 24 1 1 93
"1372" 69 12 30 1 1 93
"1373" 59 8 20 0 1 62
"1374" 68 8 41 1 0 50
"1375" 64 8 30 0 1 62
"1376" 73 11 18 0 1 81
"1377" 64 12 20 0 0 33
"1378" 59 13 19 1 1 93
"1379" 71 13 20 0 1 93
"1380" 106 10 27 0 0 81
"1381" 84 7 37 0 0 50
"1382" 53 6 18 1 1 93
"1383" 98 6 40 1 1 93
"1384" 65 9 21 0 1 62
"1385" 68 9 30 1 1 93
"1386" 78 19 16 1 0 12
"1387" 63 12 26 1 1 93
"1388" 62 13 24 1 1 93
"1389" 67 8 40 0 0 71
"1390" 67 7 30 1 1 93
"1391" 73 9 20 0 1 35
"1392" 88 12 25 1 0 72
"1393" 115 17 19 1 1 93
"1394" 65 17 14 1 1 83
"1395" 47 10 34 1 1 93
"1396" 73 10 25 1 1 83
"1397" 81 8 11 0 1 94
"1398" 64 9 43 0 0 38
"1399" 73 17 14 1 1 93
"1400" 59 10 25 1 1 93
"1401" 95 18 16 1 0 83
"1402" 74 18 12 1 1 93
"1403" 101 13 28 0 0 38
"1404" 289 16 27 0 0 62
"1405" 94 8 39 0 0 50
"1406" 121 20 38 1 0 93
"1407" 82 16 19 1 1 93
"1408" 92 11 25 1 1 82
"1409" 73 9 30 1 1 93
"1410" 117 24 19 1 0 93
"1411" 67 7 38 0 0 95
"1412" 71 11 22 1 0 82
"1413" 173 13 25 0 0 61
"1414" 67 7 36 0 0 33
"1415" 59 7 40 1 0 38
"1416" 67 15 25 0 0 38
"1417" 87 11 21 1 1 93
"1418" 94 8 31 1 0 71
"1419" 125 9 30 0 0 41
"1420" 53 7 13 0 1 31
"1421" 101 9 27 0 0 50
"1422" 95 18 18 1 1 93
"1423" 87 7 37 0 0 31
"1424" 65 7 40 1 0 11
"1425" 74 9 20 1 1 93
"1426" 101 14 19 0 0 83
"1427" 71 7 32 0 1 38
"1428" 61 8 40 0 1 62
"1429" 73 7 33 0 1 33
"1430" 115 14 32 1 1 93
"1431" 63 7 33 0 1 39
"1432" 67 7 27 1 1 50
"1433" 58 8 31 0 1 62
"1434" 64 12 25 1 1 91
"1435" 125 19 18 0 0 50
"1436" 81 10 28 1 0 50
"1437" 62 7 30 0 1 33
"1438" 149 12 22 0 0 38
"1439" 78 8 36 0 0 12
"1440" 109 17 15 1 0 93
"1441" 148 15 18 0 0 34
"1442" 87 8 42 0 0 11
"1443" 71 11 24 0 1 41
"1444" 91 14 24 1 1 62
"1445" 74 9 30 0 0 37
"1446" 64 14 23 1 1 93
"1447" 69 16 44 1 0 82
"1448" 64 20 10 0 0 83
"1449" 87 17 10 1 1 93
"1450" 76 17 19 1 1 93
"1451" 78 12 16 1 1 93
"1452" 71 9 30 1 1 72
"1453" 71 7 36 1 0 93
"1454" 87 13 41 1 0 93
"1455" 71 10 27 0 1 38
"1456" 68 15 12 1 1 93
"1457" 81 8 28 1 0 50
"1458" 87 11 34 1 1 93
"1459" 54 7 40 1 1 93
"1460" 98 13 30 1 1 93
"1461" 77 9 42 1 1 82
"1462" 92 7 30 0 0 50
"1463" 81 15 26 0 0 38
"1464" 133 14 31 0 0 93
"1465" 51 12 29 0 1 32
"1466" 39 7 11 0 1 62
"1467" 64 7 35 0 0 38
"1468" 82 10 32 0 1 81
"1469" 67 10 23 0 1 91
"1470" 47 8 14 1 1 93
"1471" 191 7 41 0 0 38
"1472" 68 9 26 0 1 33
"1473" 84 14 18 1 1 93
"1474" 88 14 22 0 1 81
"1475" 81 19 15 1 1 93
"1476" 104 13 25 0 0 31
"1477" 76 9 43 0 0 62
"1478" 151 14 17 0 0 83
"1479" 114 7 25 0 0 61
"1480" 69 6 26 0 0 36
"1481" 96 11 26 0 0 61
"1482" 68 9 11 0 1 63
"1483" 98 16 21 1 1 93
"1484" 173 15 25 0 0 61
"1485" 65 7 36 1 1 72
"1486" 101 19 22 1 1 93
"1487" 110 14 28 1 1 93
"1488" 71 6 32 1 1 93
"1489" 71 8 31 1 1 93
"1490" 156 12 42 0 0 82
"1491" 74 13 22 0 1 61
"1492" 54 7 31 1 1 93
"1493" 71 10 34 1 1 93
"1494" 63 10 20 0 1 93
"1495" 87 24 9 0 0 93
"1496" 62 12 21 1 1 93
"1497" 68 10 14 1 1 93
"1498" 87 18 28 0 0 93
"1499" 81 7 40 1 0 71
"1500" 110 15 12 1 1 93
"1501" 123 14 23 1 0 50
"1502" 76 7 35 1 0 72
"1503" 95 17 13 1 1 91
"1504" 69 15 14 1 1 93
"1505" 104 17 18 1 0 93
"1506" 77 8 44 0 0 71
"1507" 59 11 24 0 1 62
"1508" 67 9 27 0 0 31
"1509" 115 13 17 0 0 37
"1510" 126 15 31 0 0 20
"1511" 69 7 44 1 0 93
"1512" 110 9 43 0 0 38
"1513" 58 12 22 0 1 93
"1514" 82 9 27 0 1 81
"1515" 69 8 11 0 1 62
"1516" 139 18 17 0 0 50
"1517" 84 8 30 0 0 71
"1518" 165 18 25 0 0 93
"1519" 54 10 14 1 1 93
"1520" 56 6 37 1 1 93
"1521" 82 10 25 1 1 93
"1522" 91 15 35 1 1 93
"1523" 67 7 40 0 1 93
"1524" 59 8 27 0 1 62
"1525" 80 15 24 0 1 93
"1526" 69 12 36 1 1 91
"1527" 133 18 25 1 0 93
"1528" 59 7 23 1 1 93
"1529" 59 8 40 0 1 31
"1530" 59 8 15 0 1 62
"1531" 74 14 33 1 1 93
"1532" 112 13 19 0 0 38
"1533" 78 16 19 1 1 82
"1534" 55 10 30 1 1 93
"1535" 69 7 33 0 0 38
"1536" 110 17 20 1 0 93
"1537" 69 9 47 0 0 31
"1538" 76 10 28 0 0 50
"1539" 76 7 31 1 0 71
"1540" 76 6 42 0 1 34
"1541" 93 12 27 0 1 50
"1542" 73 8 22 1 1 93
"1543" 68 10 31 1 1 50
"1544" 115 11 32 0 0 50
"1545" 178 9 40 0 0 82
"1546" 77 7 48 1 0 72
"1547" 68 8 27 0 0 30
"1548" 145 12 21 0 0 62
"1549" 81 8 7 1 1 72
"1550" 74 8 30 0 0 31
"1551" 64 13 19 0 0 83
"1552" 83 13 20 0 0 38
"1553" 96 20 20 1 1 93
"1554" 73 10 29 0 0 71
"1555" 74 6 37 0 0 33
"1556" 104 14 20 0 0 81
"1557" 88 8 28 0 0 61
"1558" 82 8 28 0 0 50
"1559" 78 9 39 0 0 35
"1560" 58 7 40 0 0 83
"1561" 84 15 27 0 1 50
"1562" 68 12 46 0 0 31
"1563" 67 6 46 0 0 32
"1564" 64 6 49 0 1 38
"1565" 106 12 28 0 0 38
"1566" 49 7 30 1 1 93
"1567" 59 7 38 1 1 82
"1568" 112 7 30 0 0 50
"1569" 71 10 20 0 1 62
"1570" 98 7 39 0 0 61
"1571" 82 10 22 0 0 91
"1572" 74 9 29 0 0 38
"1573" 80 13 32 0 1 93
"1574" 74 15 22 0 1 81
"1575" 84 14 18 1 1 93
"1576" 67 8 29 0 1 62
"1577" 56 7 38 1 1 93
"1578" 63 8 22 1 1 91
"1579" 92 7 46 0 0 12
"1580" 74 15 13 1 1 93
"1581" 81 11 27 1 0 38
"1582" 76 12 22 0 1 38
"1583" 104 7 34 0 0 71
"1584" 87 7 40 1 0 41
"1585" 73 12 23 0 1 93
"1586" 67 8 23 1 1 93
"1587" 202 16 17 0 0 83
"1588" 101 13 20 0 0 83
"1589" 115 10 28 0 0 81
"1590" 64 8 17 0 1 62
"1591" 67 11 17 1 1 93
"1592" 100 9 30 1 0 41
"1593" 125 9 40 0 0 50
"1594" 115 20 12 1 0 93
"1595" 238 17 17 0 0 81
"1596" 133 11 40 0 0 83
"1597" 73 10 29 1 1 93
"1598" 82 11 36 1 0 12
"1599" 100 15 23 1 0 93
"1600" 95 8 42 1 0 72
"1601" 73 12 9 1 1 93
"1602" 173 15 28 0 0 38
"1603" 69 7 39 0 1 62
"1604" 104 10 23 0 1 82
"1605" 51 9 29 1 0 92
"1606" 84 21 26 1 0 93
"1607" 69 7 30 0 1 71
"1608" 112 11 32 1 0 91
"1609" 71 12 16 0 1 35
"1610" 88 7 35 1 0 92
"1611" 63 14 21 0 1 93
"1612" 95 12 22 0 0 62
"1613" 77 17 23 1 1 93
"1614" 110 13 30 0 0 38
"1615" 58 7 35 1 0 38
"1616" 81 9 40 0 0 31
"1617" 126 13 21 0 0 50
"1618" 101 15 26 1 0 93
"1619" 84 10 43 1 1 72
"1620" 73 18 16 1 1 93
"1621" 73 12 29 0 0 38
"1622" 58 9 16 1 1 93
"1623" 59 9 25 0 1 62
"1624" 71 8 34 0 1 93
"1625" 81 14 19 0 1 93
"1626" 62 11 22 0 0 38
"1627" 95 13 22 1 0 93
"1628" 95 12 24 1 0 93
"1629" 59 8 23 1 1 93
"1630" 204 19 21 1 0 93
"1631" 74 7 35 1 0 50
"1632" 68 9 37 1 0 50
"1633" 55 8 43 0 1 32
"1634" 69 12 25 0 1 93
"1635" 76 6 50 0 0 71
"1636" 202 15 17 0 0 83
"1637" 37 9 26 0 1 93
"1638" 71 12 12 1 1 93
"1639" 67 11 23 1 1 91
"1640" 73 13 7 1 1 91
"1641" 87 15 33 1 0 91
"1642" 81 11 26 0 0 50
"1643" 48 9 23 1 1 93
"1644" 76 9 28 0 1 81
"1645" 64 12 20 1 1 93
"1646" 76 11 30 0 0 34
"1647" 68 8 27 0 1 71
"1648" 64 9 33 1 1 93
"1649" 68 13 17 0 0 50
"1650" 77 7 28 1 1 91
"1651" 133 19 31 1 0 91
"1652" 98 8 25 1 1 94
"1653" 200 14 22 0 0 50
"1654" 101 13 37 1 0 93
"1655" 58 9 27 0 1 30
"1656" 78 11 33 1 1 91
"1657" 180 23 13 1 0 93
"1658" 86 16 17 1 1 93
"1659" 144 10 30 0 0 81
"1660" 100 8 32 0 0 50
"1661" 110 15 39 0 0 50
"1662" 151 15 21 0 1 83
"1663" 71 14 20 1 1 82
"1664" 110 9 33 0 0 50
"1665" 59 8 20 1 1 93
"1666" 68 11 29 1 1 91
"1667" 126 10 24 0 0 62
"1668" 98 9 29 0 0 50
"1669" 80 7 30 1 1 93
"1670" 88 12 23 1 0 93
"1671" 78 7 37 0 0 38
"1672" 59 7 35 0 1 31
"1673" 62 7 24 0 1 83
"1674" 76 9 23 1 0 72
"1675" 56 8 26 1 1 71
"1676" 87 8 30 1 0 71
"1677" 126 17 20 0 0 37
"1678" 87 8 34 0 0 62
"1679" 76 8 34 0 0 50
"1680" 106 9 30 0 0 31
"1681" 73 10 47 1 0 83
"1682" 59 9 14 0 1 36
"1683" 68 9 17 1 1 72
"1684" 101 17 29 1 1 93
"1685" 64 9 25 0 0 38
"1686" 92 14 28 1 0 93
"1687" 136 17 34 1 0 71
"1688" 64 8 21 0 1 32
"1689" 95 7 29 0 0 50
"1690" 64 11 20 0 1 62
"1691" 82 10 28 1 0 72
"1692" 62 7 27 1 1 92
"1693" 80 8 31 1 1 63
"1694" 151 17 23 0 0 35
"1695" 68 6 35 1 1 93
"1696" 71 10 24 0 0 33
"1697" 189 14 28 0 0 82
"1698" 81 10 23 1 1 93
"1699" 84 8 27 0 0 71
"1700" 96 17 15 1 1 83
"1701" 96 9 28 0 1 34
